"","site","hour","Depth_ft","DO_mg.L","pH","Specific_Conductivity_uS.cm","Temperature_C"
"6622","lincoln",2023-08-20 20:00:00,NA,9.16488552093506,8.94230628013611,114.082605361938,18.684947013855
"6623","lincoln",2023-08-20 21:00:00,NA,8.85611295700073,8.92826724052429,113.25697517395,19.1752781867981
"6624","lincoln",2023-08-20 22:00:00,NA,8.41231536865234,8.71797156333923,109.449922561646,19.3804950714111
"6625","lincoln",2023-08-20 23:00:00,NA,8.17860865592957,8.52069401741028,109.720111846924,19.4843940734863
"6626","lincoln",2023-08-21 00:00:00,NA,7.99438393115997,8.35567021369934,112.127880096436,19.4764080047607
"6627","lincoln",2023-08-21 01:00:00,NA,7.7772057056427,8.14618968963623,112.890014648438,19.2834177017212
"6628","lincoln",2023-08-21 02:00:00,NA,7.59427642822266,7.91052114963531,113.419496536255,18.8041987419128
"6629","lincoln",2023-08-21 03:00:00,NA,7.56260204315186,7.76080405712128,113.754344940186,18.1374292373657
"6630","lincoln",2023-08-21 04:00:00,NA,7.62064182758331,7.69426786899567,113.648815155029,17.4774475097656
"6631","lincoln",2023-08-21 05:00:00,NA,7.72414934635162,7.66870164871216,113.674495697021,16.843291759491
"6632","lincoln",2023-08-21 06:00:00,NA,7.84869492053986,7.66157793998718,113.075090408325,16.2333607673645
"6633","lincoln",2023-08-21 07:00:00,NA,7.97042059898376,7.66487681865692,112.392557144165,15.6571202278137
"6634","lincoln",2023-08-21 08:00:00,NA,8.08271026611328,7.66701483726501,111.830545425415,15.1497609615326
"6635","lincoln",2023-08-21 09:00:00,NA,8.17159390449524,7.66884565353394,112.030275344849,14.7275879383087
"6636","lincoln",2023-08-21 10:00:00,NA,8.2514808177948,7.66911375522614,112.138595581055,14.3444259166718
"6637","lincoln",2023-08-21 11:00:00,NA,8.31787490844727,7.67597007751465,112.316663742065,14.029566526413
"6638","lincoln",2023-08-21 12:00:00,NA,8.38653159141541,7.67417538166046,112.32385635376,13.7737233638763
"6639","lincoln",2023-08-21 13:00:00,NA,8.54281806945801,7.70541703701019,112.469068527222,13.60200548172
"6640","lincoln",2023-08-21 14:00:00,NA,8.78063583374023,7.78180205821991,112.216854095459,13.5596454143524
"6641","lincoln",2023-08-21 15:00:00,NA,9.06005096435547,7.9156848192215,111.592098236084,13.7894930839539
"6642","lincoln",2023-08-21 16:00:00,NA,9.36225914955139,8.16734623908997,111.323728561401,14.466673374176
"6643","lincoln",2023-08-21 17:00:00,NA,9.53656554222107,8.47487640380859,111.240522384644,15.4839005470276
"6644","lincoln",2023-08-21 18:00:00,NA,9.53770518302917,8.72873425483704,111.162166595459,16.6156139373779
"6645","lincoln",2023-08-21 19:00:00,NA,9.42854714393616,8.87621068954468,111.138555526733,17.657142162323
"6646","lincoln",2023-08-21 20:00:00,NA,9.26404142379761,8.95095276832581,111.813875198364,18.4487566947937
"6647","lincoln",2023-08-21 21:00:00,NA,9.03676295280457,8.96486377716064,113.231620788574,18.986855506897
"6648","lincoln",2023-08-21 22:00:00,NA,8.73250770568848,8.92066121101379,116.902940750122,19.3178195953369
"6649","lincoln",2023-08-21 23:00:00,NA,8.38561630249023,8.80233478546143,118.906173706055,19.4468846321106
