site,date,Date,h_m
MW1,2020-12-16,2020-12-16,2747.4683958333335
MW1,2020-12-17,2020-12-17,2747.4731666666667
MW1,2020-12-18,2020-12-18,2747.466104166667
MW1,2020-12-19,2020-12-19,2747.465833333333
MW1,2020-12-20,2020-12-20,2747.4701875
MW1,2020-12-21,2020-12-21,2747.469291666667
MW1,2020-12-22,2020-12-22,2747.4675625
MW1,2020-12-23,2020-12-23,2747.4418125
MW1,2020-12-24,2020-12-24,2747.4573958333335
MW1,2020-12-25,2020-12-25,2747.4634166666665
MW1,2020-12-26,2020-12-26,2747.4610416666665
MW1,2020-12-27,2020-12-27,2747.451270833333
MW1,2020-12-28,2020-12-28,2747.4422083333334
MW1,2020-12-29,2020-12-29,2747.4450208333333
MW1,2020-12-30,2020-12-30,2747.4438958333335
MW1,2020-12-31,2020-12-31,2747.446479166667
MW1,2021-01-01,2021-01-01,2747.43725
MW1,2021-01-02,2021-01-02,2747.4446041666665
MW1,2021-01-03,2021-01-03,2747.4443541666665
MW1,2021-01-04,2021-01-04,2747.444104166667
MW1,2021-01-05,2021-01-05,2747.4426458333332
MW1,2021-01-06,2021-01-06,2747.439625
MW1,2021-01-07,2021-01-07,2747.440958333333
MW1,2021-01-08,2021-01-08,2747.4362708333333
MW1,2021-01-09,2021-01-09,2747.428625
MW1,2021-01-10,2021-01-10,2747.423041666667
MW1,2021-01-11,2021-01-11,2747.4103333333333
MW1,2021-01-12,2021-01-12,2747.4404791666666
MW1,2021-01-13,2021-01-13,2747.441125
MW1,2021-01-14,2021-01-14,2747.426375
MW1,2021-01-15,2021-01-15,2747.4404375
MW1,2021-01-16,2021-01-16,2747.437895833333
MW1,2021-01-17,2021-01-17,2747.4343958333334
MW1,2021-01-18,2021-01-18,2747.4228125
MW1,2021-01-19,2021-01-19,2747.4115833333335
MW1,2021-01-20,2021-01-20,2747.4299166666665
MW1,2021-01-21,2021-01-21,2747.4285
MW1,2021-01-22,2021-01-22,2747.427375
MW1,2021-01-23,2021-01-23,2747.4265416666667
MW1,2021-01-24,2021-01-24,2747.4216874999997
MW1,2021-01-25,2021-01-25,2747.410479166667
MW1,2021-01-26,2021-01-26,2747.4022083333334
MW1,2021-01-27,2021-01-27,2747.4219583333334
MW1,2021-01-28,2021-01-28,2747.4275208333333
MW1,2021-01-29,2021-01-29,2747.4268541666665
MW1,2021-01-30,2021-01-30,2747.4203958333333
MW1,2021-01-31,2021-01-31,2747.4185208333333
MW1,2021-02-01,2021-02-01,2747.423125
MW1,2021-02-02,2021-02-02,2747.4229375
MW1,2021-02-03,2021-02-03,2747.4210416666665
MW1,2021-02-04,2021-02-04,2747.4088333333334
MW1,2021-02-05,2021-02-05,2747.4101666666666
MW1,2021-02-06,2021-02-06,2747.4099791666667
MW1,2021-02-07,2021-02-07,2747.4140625
MW1,2021-02-08,2021-02-08,2747.4141041666667
MW1,2021-02-09,2021-02-09,2747.4138333333335
MW1,2021-02-10,2021-02-10,2747.4129583333333
MW1,2021-02-11,2021-02-11,2747.4113541666666
MW1,2021-02-12,2021-02-12,2747.4110416666667
MW1,2021-02-13,2021-02-13,2747.391833333333
MW1,2021-02-14,2021-02-14,2747.3381458333333
MW1,2021-02-15,2021-02-15,2747.39525
MW1,2021-02-16,2021-02-16,2747.399875
MW1,2021-02-17,2021-02-17,2747.392604166667
MW1,2021-02-18,2021-02-18,2747.3781041666666
MW1,2021-02-19,2021-02-19,2747.3971458333335
MW1,2021-02-20,2021-02-20,2747.4001041666666
MW1,2021-02-21,2021-02-21,2747.389833333333
MW1,2021-02-22,2021-02-22,2747.3970208333335
MW1,2021-02-23,2021-02-23,2747.399104166667
MW1,2021-02-24,2021-02-24,2747.3889791666666
MW1,2021-02-25,2021-02-25,2747.3812083333332
MW1,2021-02-26,2021-02-26,2747.3907083333334
MW1,2021-02-27,2021-02-27,2747.3838333333333
MW1,2021-02-28,2021-02-28,2747.3778125
MW1,2021-03-01,2021-03-01,2747.387583333333
MW1,2021-03-02,2021-03-02,2747.392645833333
MW1,2021-03-03,2021-03-03,2747.390125
MW1,2021-03-04,2021-03-04,2747.38375
MW1,2021-03-05,2021-03-05,2747.3787291666667
MW1,2021-03-06,2021-03-06,2747.3901666666666
MW1,2021-03-07,2021-03-07,2747.3886666666667
MW1,2021-03-08,2021-03-08,2747.387979166667
MW1,2021-03-09,2021-03-09,2747.390083333333
